id;date;day;lake;group;dN;dC_cor;CN;tot.cells;Eubacteria;Alfaproteobacteria;Betaprteobacteria;Gammaproteobacteria;Deltaproteobacteria;Other;Temperature;NO3;PO4;NH4
125;09.09.2019;252;P2;calanoida;14,87;-27,07042373;4,72;20731906,80;11301629,40;2205522,00;2472858,00;2005020,00;1570599,00;1176278,40;20,2;0,2367;0,00;0,005
126;09.09.2019;252;T2;diaphanosoma;;-21,97603455;22,57252027;31452080,40;16397721,90;367587,00;1236429,00;2636601,30;2412707,40;8401033,80;20;0,1216;0,0448;0,019
129;09.09.2019;252;W1;cyclopoida;;-28,02682819;16,82135971;39899898,00;17617442,40;1871352,00;2305773,00;334170,00;1136178,00;16634982,60;17,6;3,3983;0,1204;0,4753
130;09.09.2019;252;W1;diaphanosoma;;-20,22787102;10,15430434;39899898,00;17617442,40;1871352,00;2305773,00;334170,00;1136178,00;16634982,60;17,6;3,3983;0,1204;0,4753
132;23.09.2019;266;P1;calanoida;;-31,81197782;5,358307171;25851391,20;12771977,40;2406024,00;1336680,00;568089,00;2138688,00;6629932,80;13,8;10,3859;0,0441;0,0073
133;23.09.2019;266;P2;daphnia;11,37485712;-25,28027667;5,29490284;26452897,20;13680919,80;534672,00;1837935,00;568089,00;534672,00;9296609,40;16,1;0,2644;0,0031;0,0023
134;23.09.2019;266;T2;calanoida;15,64;-24,64042373;4,72;16334229,60;6285737,70;200502,00;434421,00;217210,50;210527,10;8985831,30;15,2;0,9391;0,0569;0,1352
136;23.09.2019;266;T2;cyclopoida;14,06390011;-25,20989549;4,946397657;16334229,60;6285737,70;200502,00;434421,00;217210,50;210527,10;8985831,30;15,2;0,9391;0,0569;0,1352
138;23.09.2019;266;W1;daphnia;;-36,99488558;6,261064179;15719356,80;7084404,00;434421,00;1904769,00;267336,00;501255,00;5527171,80;14,9;9,7426;0,0072;0,1636
139;23.09.2019;266;W1;cyclopoida;;-35,90940641;5,37697833;15719356,80;7084404,00;434421,00;1904769,00;267336,00;501255,00;5527171,80;14,9;9,7426;0,0072;0,1636
140;23.09.2019;266;W1;calanoida;;-32,71533856;5,034082235;15719356,80;7084404,00;434421,00;1904769,00;267336,00;501255,00;5527171,80;14,9;9,7426;0,0072;0,1636
143;23.09.2019;266;P2;calanoida;14,91;-25,10136461;4,69;26452897,20;13680919,80;534672,00;1837935,00;568089,00;534672,00;9296609,40;16,1;0,2644;0,0031;0,0023
144;23.09.2019;266;T1;calanoida;15,66;-32,20512821;4,68;12611575,80;6215562,00;100251,00;1069344,00;2369265,30;1045952,10;1811201,40;15,6;0,4777;0,0063;0,0176
145;23.09.2019;266;T2;diaphanosoma;;-24,75353507;6,202703656;16334229,60;6285737,70;200502,00;434421,00;217210,50;210527,10;8985831,30;15,2;0,9391;0,0569;0,1352
146;23.09.2019;266;T1;cyclopoida;15,35;-30,45;4,75;12611575,80;6215562,00;100251,00;1069344,00;2369265,30;1045952,10;1811201,40;15,6;0,4777;0,0063;0,0176
147;07.10.2019;280;W1;calanoida;13,19656301;-38,69949493;4,581591677;28638369,00;18045180,00;1771101,00;3508785,00;1370097,00;2773611,00;1169595,00;12,8;6,9043;0,0472;0,7806
148;07.10.2019;280;T2;daphnia;;-27,22308805;6,555475806;28297515,60;10526355,00;401004,00;1871352,00;1774442,70;4143708,00;9580653,90;11,2;1,7459;0,0817;0,647
149;07.10.2019;280;T2;calanoida;14,66;-26,69888889;5,13;28297515,60;10526355,00;401004,00;1871352,00;1774442,70;4143708,00;9580653,90;11,2;1,7459;0,0817;0,647
150;07.10.2019;280;T1;cyclopoida;;-31,13247821;4,919934323;22482957,60;11863035,00;401004,00;1436931,00;3522151,80;5022575,10;237260,70;12,5;1,0021;0,0189;0,1103
152;07.10.2019;280;T2;cyclopoida;11,55656504;-26,25847573;5,611389167;28297515,60;10526355,00;401004,00;1871352,00;1774442,70;4143708,00;9580653,90;11,2;1,7459;0,0817;0,647
153;07.10.2019;280;W1;daphnia;6,732597516;-42,48967084;5,450021813;28638369,00;18045180,00;1771101,00;3508785,00;1370097,00;2773611,00;1169595,00;12,8;6,9043;0,0472;0,7806
155;07.10.2019;280;P2;leptodora;13,27829989;-24,61944619;5,567255295;21961652,40;10426104,00;1470348,00;1203012,00;1436931,00;1403514,00;6021743,40;12,1;0,9911;0,0008;0,0497
156;07.10.2019;280;P2;daphnia;13,9136644;-25,89186256;5,658387824;21961652,40;10426104,00;1470348,00;1203012,00;1436931,00;1403514,00;6021743,40;12,1;0,9911;0,0008;0,0497
157;07.10.2019;280;P1;cyclopoida;;-32,61759143;5,462336647;18606585,60;9704296,80;2071854,00;1303263,00;434421,00;1136178,00;3956572,80;10,9;13,0994;0,1796;0,0051
158;07.10.2019;280;P2;calanoida;;-23,92988757;6,100874016;21961652,40;10426104,00;1470348,00;1203012,00;1436931,00;1403514,00;6021743,40;12,1;0,9911;0,0008;0,0497
165;23.10.2019;296;T1;cyclopoida;;-30,10339853;6,026603196;48173947,20;21607432,20;634923,00;2372607,00;5771115,90;4925665,80;12862203,30;12,4;0,6069;0,0976;0,1116
166;23.10.2019;296;W1;daphnia;;-38,78957306;7,791959688;32548158,00;16868901,60;1604016,00;3976623,00;1570599,00;1403514,00;7124504,40;12,5;5,5652;0,0101;0,2845
167;23.10.2019;296;W1;calanoida;12,55737993;-41,52976621;5,668168415;32548158,00;16868901,60;1604016,00;3976623,00;1570599,00;1403514,00;7124504,40;12,5;5,5652;0,0101;0,2845
168;23.10.2019;296;W1;cyclopoida;;-39,98556896;5,127269794;32548158,00;16868901,60;1604016,00;3976623,00;1570599,00;1403514,00;7124504,40;12,5;5,5652;0,0101;0,2845
170;23.10.2019;296;P2;calanoida;15,90259638;-25,94947906;5,412102979;32087003,40;15659206,20;2305773,00;2907279,00;1269846,00;1871352,00;8073547,20;13,4;1,5425;0,0022;0,024
172;23.10.2019;296;T1;calanoida;14,62667489;-32,22717565;5,598192396;48173947,20;21607432,20;634923,00;2372607,00;5771115,90;4925665,80;12862203,30;12,4;0,6069;0,0976;0,1116
174;23.10.2019;296;T2;cyclopoida;;-27,77117744;5,480758013;37921611,60;16641666,00;1236429,00;2205522,00;3468684,60;5219735,40;9149574,60;12,3;2,6616;0,0019;0,16
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
